"Class Code","Class Name","Parameter Code","Parameter"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43817","Tetrachloroethylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45202","Toluene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43102","Total NMOC (non-methane organic compound)"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43824","Trichloroethylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43811","Trichlorofluoromethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43142","Tridecene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43860","Vinyl chloride"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43256","alpha.-Pinene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43257","beta.-Pinene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43839","cis-1,2-Dichloroethene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43831","cis-1,3-Dichloropropene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43217","cis-2-Butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43290","cis-2-Hexene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43227","cis-2-Pentene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45218","m-Diethylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45212","m-Ethyltoluene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45109","m/p Xylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43212","n-Butane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43238","n-Decane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43141","n-Dodecane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43232","n-Heptane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43231","n-Hexane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43235","n-Nonane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43233","n-Octane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43220","n-Pentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45209","n-Propylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43143","n-Tridecane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43954","n-Undecane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45211","o-Ethyltoluene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45204","o-Xylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45219","p-Diethylbenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43396","tert-Butyl ethyl ether"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43838","trans-1,2-Dichloroethylene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43830","trans-1,3-Dichloropropene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43216","trans-2-Butene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43289","trans-2-Hexene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43226","trans-2-Pentene"
"COMBINABLE","Parameters that may be combined into composite site records","14129","Lead (TSP) LC"
"COMBINABLE","Parameters that may be combined into composite site records","12128","Lead (TSP) STP"
"COMBINABLE","Parameters that may be combined into composite site records","85129","Lead PM10 LC FRM/FEM"
"COMBINABLE","Parameters that may be combined into composite site records","88101","PM2.5 - Local Conditions"
"CORE_HAPS","Urban Air Toxic Pollutants","43818","1,1,2,2-Tetrachloroethane"
"CORE_HAPS","Urban Air Toxic Pollutants","43829","1,2-Dichloropropane"
"CORE_HAPS","Urban Air Toxic Pollutants","43218","1,3-Butadiene"
"CORE_HAPS","Urban Air Toxic Pollutants","43503","Acetaldehyde"
"CORE_HAPS","Urban Air Toxic Pollutants","43505","Acrolein - Unverified"
"CORE_HAPS","Urban Air Toxic Pollutants","43509","Acrolein - Verified"
"CORE_HAPS","Urban Air Toxic Pollutants","12103","Arsenic (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82103","Arsenic PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88103","Arsenic PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","45201","Benzene"
"CORE_HAPS","Urban Air Toxic Pollutants","12105","Beryllium (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82105","Beryllium PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88105","Beryllium PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","12110","Cadmium (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82110","Cadmium PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88110","Cadmium PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","43804","Carbon tetrachloride"
"CORE_HAPS","Urban Air Toxic Pollutants","43803","Chloroform"
"CORE_HAPS","Urban Air Toxic Pollutants","12112","Chromium (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82112","Chromium PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88112","Chromium PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","14115","Chromium VI (TSP) LC"
"CORE_HAPS","Urban Air Toxic Pollutants","12115","Chromium VI (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","43802","Dichloromethane"
"CORE_HAPS","Urban Air Toxic Pollutants","43843","Ethylene dibromide"
"CORE_HAPS","Urban Air Toxic Pollutants","43815","Ethylene dichloride"
"CORE_HAPS","Urban Air Toxic Pollutants","43502","Formaldehyde"
"CORE_HAPS","Urban Air Toxic Pollutants","12128","Lead (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82128","Lead PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88128","Lead PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","12132","Manganese (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82132","Manganese PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88132","Manganese PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","82142","Mercury PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","12136","Nickel (TSP) STP"
"CORE_HAPS","Urban Air Toxic Pollutants","82136","Nickel PM10 STP"
"CORE_HAPS","Urban Air Toxic Pollutants","88136","Nickel PM2.5 LC"
"CORE_HAPS","Urban Air Toxic Pollutants","43817","Tetrachloroethylene"
"CORE_HAPS","Urban Air Toxic Pollutants","43824","Trichloroethylene"
"CORE_HAPS","Urban Air Toxic Pollutants","43860","Vinyl chloride"
"CORE_HAPS","Urban Air Toxic Pollutants","43831","cis-1,3-Dichloropropene"
"CORE_HAPS","Urban Air Toxic Pollutants","43830","trans-1,3-Dichloropropene"
"CRITERIA","Criteria Pollutants","42101","Carbon monoxide"
"CRITERIA","Criteria Pollutants","14129","Lead (TSP) LC"
"CRITERIA","Criteria Pollutants","85129","Lead PM10 LC FRM/FEM"
"CRITERIA","Criteria Pollutants","42602","Nitrogen dioxide (NO2)"
"CRITERIA","Criteria Pollutants","44201","Ozone"
"CRITERIA","Criteria Pollutants","81102","PM10 Total 0-10um STP"
"CRITERIA","Criteria Pollutants","88101","PM2.5 - Local Conditions"
"CRITERIA","Criteria Pollutants","42401","Sulfur dioxide"
"CRITERIA GAS","Gaseous criteria pollutants","42101","Carbon monoxide"
"CRITERIA GAS","Gaseous criteria pollutants","42601","Nitric oxide (NO)"
"CRITERIA GAS","Gaseous criteria pollutants","44201","Ozone"
"CRITERIA GAS","Gaseous criteria pollutants","42401","Sulfur dioxide"
