"CBSA Code","CBSA Name","CBSA Type"
"21220","Elko, NV","Micropolitan"
"21260","Ellensburg, WA","Micropolitan"
"21300","Elmira, NY","Metropolitan"
"21380","Emporia, KS","Micropolitan"
"21420","Enid, OK","Micropolitan"
"21460","Enterprise, AL","Micropolitan"
"21500","Erie, PA","Metropolitan"
"21540","Escanaba, MI","Micropolitan"
"21580","Espa¤ola, NM","Micropolitan"
"21660","Eugene, OR","Metropolitan"
"21700","Eureka-Arcata-Fortuna, CA","Micropolitan"
"21740","Evanston, WY","Micropolitan"
"21780","Evansville, IN-KY","Metropolitan"
"21820","Fairbanks, AK","Metropolitan"
"21840","Fairfield, IA","Micropolitan"
"21900","Fairmont, WV","Micropolitan"
"21980","Fallon, NV","Micropolitan"
"22020","Fargo, ND-MN","Metropolitan"
"22060","Faribault-Northfield, MN","Micropolitan"
"22100","Farmington, MO","Micropolitan"
"22140","Farmington, NM","Metropolitan"
"22180","Fayetteville, NC","Metropolitan"
"22220","Fayetteville-Springdale-Rogers, AR-MO","Metropolitan"
"22260","Fergus Falls, MN","Micropolitan"
"22280","Fernley, NV","Micropolitan"
"22300","Findlay, OH","Micropolitan"
"22340","Fitzgerald, GA","Micropolitan"
"22380","Flagstaff, AZ","Metropolitan"
"22420","Flint, MI","Metropolitan"
"22500","Florence, SC","Metropolitan"
"22520","Florence-Muscle Shoals, AL","Metropolitan"
"22540","Fond du Lac, WI","Metropolitan"
"22580","Forest City, NC","Micropolitan"
"22620","Forrest City, AR","Micropolitan"
"22660","Fort Collins, CO","Metropolitan"
"22700","Fort Dodge, IA","Micropolitan"
"22780","Fort Leonard Wood, MO","Micropolitan"
"22800","Fort Madison-Keokuk, IA-IL-MO","Micropolitan"
"22820","Fort Morgan, CO","Micropolitan"
"22860","Fort Polk South, LA","Micropolitan"
"22900","Fort Smith, AR-OK","Metropolitan"
"23060","Fort Wayne, IN","Metropolitan"
"23140","Frankfort, IN","Micropolitan"
"23180","Frankfort, KY","Micropolitan"
"23240","Fredericksburg, TX","Micropolitan"
"23300","Freeport, IL","Micropolitan"
"23340","Fremont, NE","Micropolitan"
"23380","Fremont, OH","Micropolitan"
"23420","Fresno, CA","Metropolitan"
"23460","Gadsden, AL","Metropolitan"
"23500","Gaffney, SC","Micropolitan"
"23540","Gainesville, FL","Metropolitan"
"23580","Gainesville, GA","Metropolitan"
"23620","Gainesville, TX","Micropolitan"
"23660","Galesburg, IL","Micropolitan"
"23700","Gallup, NM","Micropolitan"
"23780","Garden City, KS","Micropolitan"
"23820","Gardnerville Ranchos, NV","Micropolitan"
"23860","Georgetown, SC","Micropolitan"
"23900","Gettysburg, PA","Metropolitan"
"23940","Gillette, WY","Micropolitan"
"23980","Glasgow, KY","Micropolitan"
"24020","Glens Falls, NY","Metropolitan"
"24060","Glenwood Springs, CO","Micropolitan"
"24100","Gloversville, NY","Micropolitan"
"24140","Goldsboro, NC","Metropolitan"
"24220","Grand Forks, ND-MN","Metropolitan"
"24260","Grand Island, NE","Metropolitan"
"24300","Grand Junction, CO","Metropolitan"
"24340","Grand Rapids-Wyoming, MI","Metropolitan"
"24420","Grants Pass, OR","Metropolitan"
